date,open,high,low,close,volume
2021-10-26,10260.939,10312.243,10200.204,10222.643,9754668400
2021-10-27,10201.937,10201.937,10083.016,10112.44,9552953800
2021-10-28,10086.358,10112.12,10017.51,10047.787,10518521200
2021-10-29,10053.515,10141.288,10040.238,10141.288,10669178800
2021-11-01,10080.665,10117.385,10038.141,10089.786,11200520900
2021-11-02,10077.62,10129.289,9894.832,9975.625,12454074400
2021-11-03,9962.774,9996.876,9880.896,9915.517,9231578800
2021-11-04,9948.412,10004.103,9932.995,9987.0,8271532500
2021-11-05,9963.992,10026.744,9930.555,9931.202,9312865200
2021-11-08,9929.217,9987.575,9905.169,9943.64,9072844400
2021-11-09,9974.673,9999.398,9888.786,9938.933,8012609800
2021-11-10,9909.947,9909.947,9743.862,9873.279,8864424300
2021-11-11,9862.106,10030.403,9851.948,10029.265,10352231600
2021-11-12,10041.606,10056.185,9990.131,10008.851,8451205500
2021-11-15,10024.572,10057.924,9953.19,9989.582,7678970800
2021-11-16,9987.579,10047.803,9962.457,9977.435,8012255400
2021-11-17,9964.828,9990.493,9933.968,9969.296,6781988000
2021-11-18,9940.73,9940.73,9857.006,9882.841,7169240100
2021-11-19,9872.511,10003.788,9869.381,9996.059,8274060700
2021-11-22,10005.313,10044.309,10001.887,10019.34,8895221200
2021-11-23,10013.596,10080.294,10008.877,10048.098,10820071900
2021-11-24,10046.867,10091.645,10003.997,10052.75,9584802900
2021-11-25,10055.887,10065.072,10012.427,10028.899,8111594200
2021-11-26,10008.495,10008.495,9932.338,9949.762,8653229800
2021-11-29,9870.461,9942.432,9867.917,9940.211,9507413100
2021-11-30,9952.029,9982.416,9858.815,9898.155,9186646200
2021-12-01,9896.903,9939.706,9895.493,9936.065,8431142200
2021-12-02,9930.644,9994.734,9911.551,9973.736,10027765900
2021-12-03,9974.157,10064.693,9970.484,10064.457,9842470000
2021-12-06,10095.78,10160.682,10050.603,10058.766,11804948400
2021-12-07,10142.464,10146.083,10070.334,10128.28,11604914300
2021-12-08,10150.115,10259.375,10104.996,10259.375,10456985100
2021-12-09,10271.296,10480.185,10265.282,10397.384,13679409600
2021-12-10,10332.119,10367.477,10313.337,10360.995,12290387100
2021-12-13,10452.23,10555.104,10394.253,10405.127,15558703500
2021-12-14,10364.113,10383.358,10311.931,10334.574,11704853800
2021-12-15,10307.54,10356.824,10257.983,10262.949,11561867100
2021-12-16,10252.458,10316.975,10229.524,10316.975,10643622800
2021-12-17,10293.808,10310.14,10162.616,10162.616,11183591000
2021-12-20,10117.941,10203.467,10036.012,10053.223,12719181100
2021-12-21,10045.174,10130.492,10043.42,10122.181,10785990700
2021-12-22,10142.824,10150.701,10063.952,10078.581,9446181100
2021-12-23,10095.917,10159.504,10060.169,10159.504,10172798100
2021-12-24,10171.849,10200.126,10094.289,10127.217,10533721600
2021-12-27,10116.759,10153.375,10053.358,10100.699,8710807300
2021-12-28,10109.862,10175.597,10093.244,10169.243,9280930000
2021-12-29,10178.171,10178.171,10027.418,10027.418,7974357700
2021-12-30,10025.991,10130.892,10016.055,10087.129,8318352600
2021-12-31,10112.002,10152.919,10101.188,10130.473,7983646900
2022-01-04,10146.096,10154.979,9984.544,10074.166,9804600100
2022-01-05,10061.459,10108.361,9980.428,10009.498,12028353600
2022-01-06,9970.269,9997.097,9861.472,9920.348,11256598700
2022-01-07,9926.69,10005.535,9926.69,9945.212,13542175900
2022-01-10,9933.234,9990.6,9876.523,9987.959,10809583900
2022-01-11,9974.196,10025.18,9906.376,9919.417,10314907500
2022-01-12,9947.349,10013.137,9922.452,9997.076,10602837800
2022-01-13,10008.0,10019.67,9855.322,9858.041,10246399500
2022-01-14,9821.877,9821.877,9724.195,9729.534,10618605900
2022-01-17,9727.404,9795.276,9722.912,9772.277,8052768200
2022-01-18,9770.315,9930.411,9743.077,9899.876,11259003000
2022-01-19,9904.417,9932.128,9832.314,9876.667,9591874000
2022-01-20,9880.462,10021.864,9877.902,9975.833,12061635100
2022-01-21,9953.317,9962.933,9870.91,9903.094,9861440300
2022-01-24,9860.186,9935.101,9825.782,9905.303,8267671400
2022-01-25,9854.128,9882.174,9686.342,9686.75,9355617400
2022-01-26,9721.628,9771.459,9641.809,9760.34,7660136900
2022-01-27,9763.732,9764.536,9601.512,9610.327,8928297600
2022-01-28,9637.011,9673.133,9433.161,9444.847,9458176700
2022-02-07,9589.101,9679.66,9582.039,9647.323,10769357700
2022-02-08,9636.92,9672.883,9495.859,9670.762,11838525900
2022-02-09,9669.502,9760.855,9644.186,9741.562,10977271400
2022-02-10,9750.71,9762.661,9694.429,9755.395,11325343600
2022-02-11,9716.827,9820.585,9704.259,9716.523,11583633700
2022-02-14,9673.716,9675.375,9555.626,9592.53,10235264700
